"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHFA","CURDEP","PC_HHFA","A","1995",24.08139,
"AUS","HHFA","CURDEP","PC_HHFA","A","1996",23.43127,
"AUS","HHFA","CURDEP","PC_HHFA","A","1997",22.36017,
"AUS","HHFA","CURDEP","PC_HHFA","A","1998",20.8198,
"AUS","HHFA","CURDEP","PC_HHFA","A","1999",18.96411,
"AUS","HHFA","CURDEP","PC_HHFA","A","2000",18.73884,
"AUS","HHFA","CURDEP","PC_HHFA","A","2001",18.42815,
"AUS","HHFA","CURDEP","PC_HHFA","A","2002",19.29247,
"AUS","HHFA","CURDEP","PC_HHFA","A","2003",19.20033,
"AUS","HHFA","CURDEP","PC_HHFA","A","2004",17.94199,
"AUS","HHFA","CURDEP","PC_HHFA","A","2005",17.17072,
"AUS","HHFA","CURDEP","PC_HHFA","A","2006",16.6036,
"AUS","HHFA","CURDEP","PC_HHFA","A","2007",16.25961,
"AUS","HHFA","CURDEP","PC_HHFA","A","2008",21.44158,
"AUS","HHFA","CURDEP","PC_HHFA","A","2009",20.14997,
"AUS","HHFA","CURDEP","PC_HHFA","A","2010",21.18656,
"AUS","HHFA","CURDEP","PC_HHFA","A","2011",22.87527,
"AUS","HHFA","CURDEP","PC_HHFA","A","2012",21.78096,
"AUS","HHFA","CURDEP","PC_HHFA","A","2013",21.82359,
"AUS","HHFA","CURDEP","PC_HHFA","A","2014",21.85293,
"AUS","HHFA","CURDEP","PC_HHFA","A","2015",22.08746,
"AUS","HHFA","CURDEP","PC_HHFA","A","2016",21.7735,
"AUS","HHFA","CURDEP","PC_HHFA","A","2017",21.39763,
"AUS","HHFA","CURDEP","PC_HHFA","A","2018",21.79988,
"AUS","HHFA","CURDEP","PC_HHFA","A","2019",20.16478,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1995",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1996",0,
