Country or Area,Year,Area,Type of housing unit,Tenure,Record Type,Reliability,Source Year,Value
_land Islands,2000,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,11074
_land Islands,2000,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,7204
_land Islands,2000,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,3238
_land Islands,2000,Total,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,632
_land Islands,2000,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,10285
_land Islands,2000,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,6819
_land Islands,2000,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,2971
_land Islands,2000,Total,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,495
_land Islands,2000,Total,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2009,789
_land Islands,2000,Total,Unknown (type of housing unit),Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,385
_land Islands,2000,Total,Unknown (type of housing unit),Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,267
_land Islands,2000,Total,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,137
_land Islands,2000,Urban,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,4972
_land Islands,2000,Urban,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,2450
_land Islands,2000,Urban,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,2315
_land Islands,2000,Urban,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,207
_land Islands,2000,Urban,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,4824
_land Islands,2000,Urban,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,2424
_land Islands,2000,Urban,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,2214
_land Islands,2000,Urban,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,186
_land Islands,2000,Urban,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2009,148
_land Islands,2000,Urban,Unknown (type of housing unit),Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,26
