"Ticker.Symbol","Period.Ending","Accounts.Payable","Accounts.Receivable","Add.l.income.expense.items","After.Tax.ROE","Capital.Expenditures","Capital.Surplus","Cash.Ratio","Cash.and.Cash.Equivalents","Changes.in.Inventories","Common.Stocks","Cost.of.Revenue","Current.Ratio","Deferred.Asset.Charges","Deferred.Liability.Charges","Depreciation","Earnings.Before.Interest.and.Tax","Earnings.Before.Tax","Effect.of.Exchange.Rate","Equity.Earnings.Loss.Unconsolidated.Subsidiary","Fixed.Assets","Goodwill","Gross.Margin","Gross.Profit","Income.Tax","Intangible.Assets","Interest.Expense","Inventory","Investments","Liabilities","Long.Term.Debt","Long.Term.Investments","Minority.Interest","Misc..Stocks","Net.Borrowings","Net.Cash.Flow","Net.Cash.Flow.Operating","Net.Cash.Flows.Financing","Net.Cash.Flows.Investing","Net.Income","Net.Income.Adjustments","Net.Income.Applicable.to.Common.Shareholders","Net.Income.Cont..Operations","Net.Receivables","Non.Recurring.Items","Operating.Income","Operating.Margin","Other.Assets","Other.Current.Assets","Other.Current.Liabilities","Other.Equity","Other.Financing.Activities","Other.Investing.Activities","Other.Liabilities","Other.Operating.Activities","Other.Operating.Items","Pre.Tax.Margin","Pre.Tax.ROE","Profit.Margin","Quick.Ratio","Research.and.Development","Retained.Earnings","Sale.and.Purchase.of.Stock","Sales..General.and.Admin.","Short.Term.Debt...Current.Portion.of.Long.Term.Debt","Short.Term.Investments","Total.Assets","Total.Current.Assets","Total.Current.Liabilities","Total.Equity","Total.Liabilities","Total.Liabilities...Equity","Total.Revenue","Treasury.Stock","For.Year","Earnings.Per.Share","Estimated.Shares.Outstanding"
"AAL","12/31/12",3.068e+09,-2.22e+08,-1.961e+09,23,-1.888e+09,4.695e+09,53,1.33e+09,0,1.27e+08,1.0499e+10,78,0,2.23e+08,1.001e+09,-1.813e+09,-2.445e+09,0,0,1.3402e+10,0,58,1.4356e+10,-5.69e+08,8.69e+08,6.32e+08,5.8e+08,3.06e+08,4.73e+08,7.116e+09,0,0,0,-1.02e+09,1.97e+08,1.285e+09,4.83e+08,-1.571e+09,-1.876e+09,2.05e+09,-1.876e+09,-4.084e+09,1.124e+09,3.86e+08,1.48e+08,1,2.167e+09,6.26e+08,4.524e+09,-2.98e+09,1.509e+09,1.1e+07,1.5147e+10,-1.41e+08,8.45e+08,10,31,8,72,0,-9.462e+09,0,1.2977e+10,1.419e+09,3.412e+09,2.351e+10,7.072e+09,9.011e+09,-7.987e+09,2.4891e+10,1.6904e+10,2.4855e+10,-3.67e+08,2012,-5.6,3.35e+08
"AAL","12/31/13",4.975e+09,-9.3e+07,-2.723e+09,67,-3.114e+09,1.0592e+10,75,2.175e+09,0,5e+06,1.1019e+10,104,0,9.35e+08,1.02e+09,-1.324e+09,-2.18e+09,0,0,1.9259e+10,4.086e+09,59,1.5724e+10,-3.46e+08,2.311e+09,8.56e+08,1.012e+09,-1.181e+09,-2.35e+08,1.5353e+10,0,0,0,2.208e+09,6.6e+08,6.75e+08,3.799e+09,-3.814e+09,-1.834e+09,1.873e+09,-1.834e+09,-4.489e+09,1.56e+09,5.59e+08,1.399e+09,5,2.299e+09,1.465e+09,7.385e+09,-2.032e+09,1.711e+09,4.81e+08,1.4915e+10,-5.6e+07,8.53e+08,8,80,7,96,0,-1.1296e+10,0,1.2913e+10,1.446e+09,8.111e+09,4.2278e+10,1.4323e+10,1.3806e+10,-2.731e+09,4.5009e+10,4.2278e+10,2.6743e+10,0,2013,-11.25,163022222.2
"AAL","12/31/14",4.668e+09,-1.6e+08,-1.5e+08,143,-5.311e+09,1.5135e+10,60,1.768e+09,0,7e+06,1.562e+10,88,0,8.29e+08,1.342e+09,4.099e+09,3.212e+09,0,0,2.3084e+10,4.091e+09,63,2.703e+10,3.3e+08,2.24e+09,8.87e+08,1.004e+09,1.799e+09,-1.026e+09,1.6043e+10,0,0,0,1.7e+08,-1.46e+08,3.08e+09,-3.15e+08,-2.911e+09,2.882e+09,5.42e+08,2.882e+09,2.882e+09,1.771e+09,8e+08,4.249e+09,10,2.06e+09,8.98e+08,7.059e+09,-4.559e+09,8.17e+08,6.01e+08,1.0928e+10,-5e+08,1.295e+09,8,159,7,80,0,-8.562e+09,-1.052e+09,2.0686e+10,1.677e+09,6.309e+09,4.3225e+10,1.175e+10,1.3404e+10,2.021e+09,4.1204e+10,4.3225e+10,4.265e+10,0,2014,4.02,716915422.9
"AAL","12/31/15",5.102e+09,3.52e+08,-7.08e+08,135,-6.151e+09,1.1591e+10,51,1.085e+09,0,6e+06,1.1096e+10,73,2.477e+09,6.67e+08,1.487e+09,5.496e+09,4.616e+09,0,0,2.751e+10,4.091e+09,73,2.9894e+10,-2.994e+09,2.249e+09,8.8e+08,8.63e+08,4.43e+08,-6.33e+08,1.833e+10,0,0,0,2.856e+09,-6.04e+08,6.249e+09,-1.259e+09,-5.594e+09,7.61e+09,-2.662e+09,7.61e+09,7.61e+09,1.425e+09,1.051e+09,6.204e+09,15,2.103e+09,7.48e+08,6.272e+09,-4.732e+09,9.6e+07,1.14e+08,1.0178e+10,9.5e+07,1.364e+09,11,82,19,67,0,-1.23e+09,-3.846e+09,2.1275e+10,2.231e+09,5.864e+09,4.8415e+10,9.985e+09,1.3605e+10,5.635e+09,4.278e+10,4.8415e+10,4.099e+10,0,2015,11.39,668129938.5
"AAP","12/29/12",2409453000,-89482000,6e+05,32,-271182000,520215000,23,598111000,-260298000,7000,3106967000,124,0,0,189544000,657915000,624074000,0,0,1292547000,76389000,50,3098036000,236404000,28845000,33841000,2308609000,0,426323000,604461000,0,0,0,177445000,540210000,685281000,127907000,-272978000,387670000,23311000,387670000,387670000,229866000,0,657315000,11,31833000,47614000,149558000,2667000,-33499000,-1796000,239021000,8213000,0,10,52,6,34,0,714900000,-18600000,2440721000,627000,0,4613814000,3184200000,2559638000,1210694000,3403120000,4613814000,6205003000,-27095000,2012,5.29,73283553.88
"AAP","12/28/13",2609239000,-32428000,2698000,26,-195757000,531293000,40,1112471000,-203513000,7000,3241668000,144,0,0,207795000,663016000,626398000,0,0,1286034000,199835000,50,3252146000,234640000,49872000,36618000,2556557000,0,172715000,1052668000,0,0,0,445679000,514360000,545250000,331217000,-362107000,391758000,-2088000,391758000,391758000,277595000,0,660318000,10,39649000,42761000,154630000,3683000,-27209000,-166350000,231116000,11011000,0,10,41,6,52,0,1089112000,-77184000,2591828000,916000,0,5564774000,3989384000,2764785000,1516205000,4048569000,5564774000,6493814000,-107890000,2013,5.36,73089179.1
"AAP","1/3/15",3616038000,-48209000,3092000,25,-228446000,562945000,3,104671000,-227657000,7000,5390248000,130,0,446351000,284693000,854802000,781394000,-4465000,0,1432030000,995426000,45,4453613000,287569000,748125000,73408000,3936955000,0,194223000,1636311000,0,0,0,599619000,-1007800000,708991000,575911000,-2288237000,493825000,75598000,493825000,493825000,579825000,0,851710000,9,45737000,119589000,37796000,-12337000,-18039000,-2059791000,222368000,-63482000,0,8,39,5,22,0,1565341000,1424000,3601903000,582000,0,7962358000,4741040000,3654416000,2002912000,5959446000,7962358000,9843861000,-113044000,2014,6.75,73159259.26
"AAP","1/2/16",3757085000,-21476000,-7484000,19,-234747000,603332000,2,90782000,-244096000,7000,5314246000,130,0,433925000,269476000,818296000,752888000,-4213000,0,1434577000,989484000,45,4422772000,279490000,687125000,65408000,4174768000,0,174667000,1213161000,0,0,0,-426322000,-13889000,689642000,-445952000,-253366000,473398000,30250000,473398000,473398000,597788000,0,825780000,8,82633000,77408000,39794000,-44059000,-13492000,-18619000,229354000,7423000,0,8,31,5,20,0,2021077000,-1491000,3596992000,598000,0,8134565000,4940746000,3797477000,2460648000,5673917000,8134565000,9737018000,-119709000,2015,6.45,73395038.76
"AAPL","9/28/13",3.6223e+10,-1.949e+09,1.156e+09,30,-8.165e+09,0,93,1.4259e+10,-9.73e+08,1.9764e+10,1.07e+11,168,0,2.625e+09,6.757e+09,5.0155e+10,5.0155e+10,0,0,1.6597e+10,1.577e+09,38,6.4304e+10,1.3118e+10,4.179e+09,0,1.764e+09,-2.4042e+10,8.32e+09,1.696e+10,1.06e+11,0,0,1.6896e+10,3.513e+09,5.3666e+10,-1.6379e+10,-3.3774e+10,3.7037e+10,3.394e+09,3.7037e+10,3.7037e+10,2.4094e+10,0,4.8999e+10,29,5.146e+09,6.882e+09,7.435e+09,-4.71e+08,-1.082e+09,-1.567e+09,2.0208e+10,1.08e+09,0,29,41,22,164,4.475e+09,1.04e+11,-2.233e+10,1.083e+10,0,2.6287e+10,2.07e+11,7.3286e+10,4.3658e+10,1.24e+11,8.3451e+10,2.07e+11,1.71e+11,0,2013,40.03,925231076.7
"AAPL","9/27/14",4.8649e+10,-6.452e+09,9.8e+08,35,-9.571e+09,0,40,1.3844e+10,-7.6e+07,2.3313e+10,1.12e+11,108,0,3.031e+09,7.946e+09,5.3483e+10,5.3483e+10,0,0,2.0624e+10,4.616e+09,39,7.0537e+10,1.3973e+10,4.142e+09,0,2.111e+09,-9.027e+09,1.3408e+10,2.8987e+10,1.3e+11,0,0,1.8266e+10,-4.15e+08,5.9713e+10,-3.7549e+10,-2.2579e+10,3.951e+10,5.21e+09,3.951e+10,3.951e+10,3.1537e+10,0,5.2503e+10,29,3.764e+09,9.806e+09,8.491e+09,1.082e+09,-1.158e+09,-3.981e+09,2.4826e+10,1.67e+08,0,29,48,22,105,6.041e+09,8.7152e+10,-4.427e+10,1.1993e+10,6.308e+09,1.1233e+10,2.32e+11,6.8531e+10,6.3448e+10,1.12e+11,1.2e+11,2.32e+11,1.83e+11,0,2014,6.49,6087827427
