,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , ,2,2, , , , , , ,2,2,USH00298535, , , , , , , , , , , , ,-9999,-9999,541,442,-9999,-9999,-9999,-9999,-9999,-9999,356,28,1851
1,., , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,56,74,676,0,10,51,102,442,975,254,373,196,1852
2, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,10,25,292,163,8,3,13,71,711,465,307,229,1853
3, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,0,0,170,38,165,25,218,13,221,351,241,99,1854
4, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,0,0,114,0,30,114,25,18,668,328,587,23,1855
5, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,0,470,69,0,76,0,0,216,218,630,663,0,1856
6, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,76,241,0,33,0,66,0,0,109,935,569,612,1857
7, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,0,0,0,0,56,0,0,198,635,409,0,0,1858
8, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,0,36,295,0,0,0,0,0,300,292,404,76,1859
9, , , , ,., , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,15,279,0,0,38,0,0,76,279,0,229,0,1860
10, , , , , , , , , , , , ,2,2, , ,2,2,2, , , , , ,USH00298535, , , , , , , , , , , , ,406,0,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,1861
11, , , , , , , , , , , , , , ,2,2, , , , , , , , ,USH00298535, , , , , , , , , , , , ,-9999,-9999,0,254,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1865
12, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,0,0,132,43,206,38,64,132,538,640,185,0,1866
13, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,53,152,43,56,97,0,3,8,1095,203,737,66,1867
14, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,170,5,84,381,20,30,287,3,508,455,427,97,1868
15, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00298535, , , , , , , , , , , , ,180,323,127,51,117,135,46,546,91,1293,36,257,1869
16, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,0,0,0,64,0,0,0,432,1321,1016,178,165,1870
17, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,0,0,0,0,0,0,56,152,584,267,699,0,1871
18, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,38,0,0,686,0,0,0,23,302,216,279,64,1872
19, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,8,0,66,10,0,3,5,71,51,569,76,28,1873
20, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,150,140,180,191,66,157,3,46,99,279,89,157,1874
21, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,0,0,0,30,0,0,0,5,881,127,401,0,1875
22, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,246,5,66,0,5,0,51,231,102,279,589,673,1876
23, , , , ,.,.,., ,., , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,3,1133,15,104,51,196,117,0,711,3,231,249,1877
24, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,18,109,328,18,175,38,351,259,523,155,53,23,1878
25, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,305,157,0,320,79,8,0,8,475,259,46,198,1879
26, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,36,109,33,282,132,114,0,0,488,262,259,89,1880
27, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,10,0,142,231,36,23,445,109,991,795,498,544,1881
28, , ,.,., , , , , ,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,160,345,371,0,104,3,25,183,335,716,102,0,1882
29, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00298535, , , , , , , , , , , , ,0,25,152,0,0,0,0,157,803,267,825,577,1886
