dateq,equally weighted
2000q1,99.40178
2000q2,100.0766
2000q3,100.3136
2000q4,100.2081
2001q1,100.1141
2001q2,99.95169
2001q3,100.454
2001q4,101.7234
2002q1,103.7607
2002q2,105.573
2002q3,107.9986
2002q4,108.5408
2003q1,109.5247
2003q2,111.0035
2003q3,113.6938
2003q4,116.0823
2004q1,118.7107
2004q2,120.9117
2004q3,122.5935
2004q4,124.7612
2005q1,127.9947
2005q2,130.2314
2005q3,132.4456
2005q4,135.3761
2006q1,138.4372
2006q2,140.9631
2006q3,144.2075
2006q4,148.7894
2007q1,152.9722
2007q2,156.0933
2007q3,158.0444
2007q4,158.4219
2008q1,158.4675
2008q2,157.4487
2008q3,155.3638
2008q4,151.6033
2009q1,146.8739
2009q2,144.7815
2009q3,145.0654
2009q4,145.6945
2010q1,145.9947
2010q2,146.3802
2010q3,146.1182
2010q4,145.9626
2011q1,145.1959
2011q2,144.8571
2011q3,144.3696
2011q4,143.3087
2012q1,143.1846
2012q2,143.3579
2012q3,143.3831
2012q4,143.9773
2013q1,144.3745
2013q2,145.2333
2013q3,145.7208
2013q4,146.8635
2014q1,148.2049
2014q2,148.8884
2014q3,149.4954
2014q4,150.0363
2015q1,151.4051
2015q2,151.362
2015q3,152.3476
2015q4,153.03
2016q1,154.0791
2016q2,155.2672
2016q3,156.3963
2016q4,157.5836
2017q1,157.5939
2017q2,158.9191
2017q3,159.7944
2017q4,160.4311
2018q1,161.3055
2018q2,162.1756
2018q3,162.1365
2018q4,162.5258
2019q1,163.3199
2019q2,163.5317
2019q3,164.988
2019q4,165.8644
2020q1,167.2607
