"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHSAV","TOT","PC_HHDI","A","1970",14.730999146029,
"AUS","HHSAV","TOT","PC_HHDI","A","1971",14.8860174388066,
"AUS","HHSAV","TOT","PC_HHDI","A","1972",16.9827506970189,
"AUS","HHSAV","TOT","PC_HHDI","A","1973",18.7528321836766,
"AUS","HHSAV","TOT","PC_HHDI","A","1974",17.9730816002638,
"AUS","HHSAV","TOT","PC_HHDI","A","1975",16.53404702459,
"AUS","HHSAV","TOT","PC_HHDI","A","1976",15.2461488240506,
"AUS","HHSAV","TOT","PC_HHDI","A","1977",14.3879923895427,
"AUS","HHSAV","TOT","PC_HHDI","A","1978",15.7869031070369,
"AUS","HHSAV","TOT","PC_HHDI","A","1979",15.0834142266971,
"AUS","HHSAV","TOT","PC_HHDI","A","1980",14.9995016445729,
"AUS","HHSAV","TOT","PC_HHDI","A","1981",14.2592415371097,
"AUS","HHSAV","TOT","PC_HHDI","A","1982",11.8301019482926,
"AUS","HHSAV","TOT","PC_HHDI","A","1983",13.7729317857117,
"AUS","HHSAV","TOT","PC_HHDI","A","1984",14.2977819134544,
"AUS","HHSAV","TOT","PC_HHDI","A","1985",11.5384151562293,
"AUS","HHSAV","TOT","PC_HHDI","A","1986",8.8896868635295,
"AUS","HHSAV","TOT","PC_HHDI","A","1987",7.81740546817596,
"AUS","HHSAV","TOT","PC_HHDI","A","1988",8.77869897959184,
"AUS","HHSAV","TOT","PC_HHDI","A","1989",8.83937887436322,
"AUS","HHSAV","TOT","PC_HHDI","A","1990",7.99582374333875,
"AUS","HHSAV","TOT","PC_HHDI","A","1991",6.18273086315536,
"AUS","HHSAV","TOT","PC_HHDI","A","1992",6.2103611359327,
"AUS","HHSAV","TOT","PC_HHDI","A","1993",5.97386869949004,
"AUS","HHSAV","TOT","PC_HHDI","A","1994",5.00998546964882,
"AUS","HHSAV","TOT","PC_HHDI","A","1995",5.26251853328516,
"AUS","HHSAV","TOT","PC_HHDI","A","1996",6.52232786788732,
"AUS","HHSAV","TOT","PC_HHDI","A","1997",3.82305821933373,
"AUS","HHSAV","TOT","PC_HHDI","A","1998",1.39300031677717,
"AUS","HHSAV","TOT","PC_HHDI","A","1999",0.762058384839484,
"AUS","HHSAV","TOT","PC_HHDI","A","2000",2.03939014914625,
"AUS","HHSAV","TOT","PC_HHDI","A","2001",3.32661201170925,
"AUS","HHSAV","TOT","PC_HHDI","A","2002",-0.998092199575326,
"AUS","HHSAV","TOT","PC_HHDI","A","2003",-0.069675667775204,
"AUS","HHSAV","TOT","PC_HHDI","A","2004",1.12038043073809,
"AUS","HHSAV","TOT","PC_HHDI","A","2005",0.320218933826123,
"AUS","HHSAV","TOT","PC_HHDI","A","2006",0.831748667110695,
"AUS","HHSAV","TOT","PC_HHDI","A","2007",2.52434592704554,
"AUS","HHSAV","TOT","PC_HHDI","A","2008",8.87187763509849,
"AUS","HHSAV","TOT","PC_HHDI","A","2009",6.82404795621434,
"AUS","HHSAV","TOT","PC_HHDI","A","2010",8.35143370298683,
"AUS","HHSAV","TOT","PC_HHDI","A","2011",8.83714394997931,
"AUS","HHSAV","TOT","PC_HHDI","A","2012",7.48181492027397,
"AUS","HHSAV","TOT","PC_HHDI","A","2013",7.86000214152163,
"AUS","HHSAV","TOT","PC_HHDI","A","2014",7.95245270383392,
"AUS","HHSAV","TOT","PC_HHDI","A","2015",6.083489972504,
"AUS","HHSAV","TOT","PC_HHDI","A","2016",5.19896202793271,
"AUS","HHSAV","TOT","PC_HHDI","A","2017",4.29242304077077,
"AUS","HHSAV","TOT","PC_HHDI","A","2018",3.88920792211434,
"AUS","HHSAV","TOT","PC_HHDI","A","2019",10.2618693499839,
