Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6542282,98.11321259,100.2137375,103.142601,101.4023972,97.24137878,96.11392212,96.7975235,104.0625,97.92759705,99.1279068,98.29424286,99.73133087,112.145752,,,,,,,
Afghanistan,AFG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,2.221760035,2.343450069,2.375880003,2.64944005,2.625169992,2.775969982,3.192260027,3.810689926,4.149189949,,,7.840740204,6.472270012,,7.707839966,8.093580246,7.956570148,,8.599360466,,,10.42539978,,8.341580391,9.169509888,11.11522961,,,,,,0,,6.393360138,5.94272995,9.006859779,14.84049988,15.32682037,22.53380966,28.5836792,33.30268097,36.63595963,38.10794067,37.84849167,37.33298874,36.75185013,37.30252838,38.60253906,39.99840164,
Angola,AGO,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,5.102920055,5.704659939,,,,,,,,,,6.327129841,5.766310215,,,,,,,,,,,,,,,9.5001297,9.268710136,11.05440998,12.16296959,13.60295963,,,,,,18.48254967,19.60906029,21.26445961,20.72069931,,,,,39.74182892,,,
Albania,ALB,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,80.78878021,,82.10639954,84.16841888,84.91840363,85.6845932,82.42079926,79.05763245,79.16184235,81.03949738,83.87702179,84.04469299,85.02210999,85.26029968,85.93292236,86.95420074,78.18969727,72.20349884,69.49530792,68.46656799,67.78798676,68.46286774,,70.16623688,69.84893036,71.55499268,,,73.40500641,76.50583649,78.14499664,81.87088776,84.07720184,87.10308075,88.35547638,89.3991394,91.11264038,94.1986618,94.78688812,95.12265778,94.23857117,94.71289825,95.70465088,95.65992737
Andorra,AND,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,15.48608017,16.39421082,13.56009007,21.45389938,27.82875061,47.39582825,,,,,,,52.09016037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,18.11436,18.2022,18.69123,19.56862,20.5079,21.64133,23.30192,25.20179,26.87969,28.39428,29.57757,30.68395,32.35576,33.75779,35.21197,36.8711,38.82456,40.22007,41.07825,42.05476,45.25085,45.85587,45.48279,46.45234,48.41967,49.06069,49.19202,50.80077,52.71442,54.70992,56.2479,57.85082,59.30385,61.28702,62.95936,63.22204,63.16754,62.22579,62.50162,63.8847,64.89927,67.34175,68.28476,67.11553,67.7779,68.76245,68.73223,69.19781,70.06162,70.68214
United Arab Emirates,ARE,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,13.60217953,16.03692055,19.25024986,26.00568962,29.37462044,33.00830078,37.08485031,43.66810989,49.69395065,54.64643097,57.40605164,60.99065018,63.97404099,65.80483246,62.43146896,62.25894165,63.88909912,66.68196106,71.00559235,73.49363708,76.61994171,81.09394836,83.96356201,,83.25563812,84.14952087,,,,,,,,,,,,,,,,,,93.32652283,100.3962173,,
Argentina,ARG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,47.74958038,48.38708878,49.56137848,52.10108185,54.84592819,56.7114296,58.36965179,58.71789169,58.8972702,58.60335922,59.81150818,61.30530167,61.98775101,61.53591919,68.00782013,73.53793335,72.83251953,71.81034088,72.50762177,,,,,,,,82.54390717,78.34237671,83.12271881,95.34541321,98.28871155,99.32843018,98.35929108,97.80130005,98.04831696,96.80098724,96.38414764,96.93862152,98.72424316,101.948082,104.15448,106.6154709,107.9771423,108.9802322,109.5981064,110.1584091,110.9198685,111.0334625,,
Armenia,ARM,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.50849152,,,,,,,96.64853668,94.57569885,98.96401978,103.7440033,93.29618835,,87.6699295,88.42137909,88.33323669,,,84.80037689,88.88323975
American Samoa,ASM,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,75.98876953,,87.70715332,88.17858887,,92.94056702,63.68225098,,,,,,,,,,,,,,98.75588226,,,,,,,,76.64064789,,,,,,,108.9722672,117.5033875,118.5776062,115.6710434,111.6468964,117.6207962,,107.299469,109.3478317,,107.7204819,109.0700989,
Australia,AUS,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.6760254,132.4186859,142.9518585,148.3223419,155.3886261,,,,,,,,,,,,,,,,,,145.8880463,141.896347,141.1653748,128.6360016,
Austria,AUT,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,83.99743652,,,,,85.34451294,,,,,87.29942322,86.89618683,87.42394257,87.32444,90.193367,92.55174255,92.76907349,93.76500702,95.01232147,96.56433105,98.57582855,100.5477219,102.3778763,103.2627792,103.1629181,102.6058426,102.555191,94.9664917,96.10926056,96.5994873,96.84577942,96.49897766,96.78659058,96.63851929,97.80609131,98.23651123,97.65258026,97.23181915,97.30873871,96.78079987,96.06343842,95.9241333,97.41802979,97.71083069,98.45523834,98.9174118,98.32810211,98.07798767,
Azerbaijan,AZE,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,91.69447327,,,,,94.65881348,,,,,91.2085495,90.86578369,89.00318909,84.51747131,86.24819183,77.0515976,76.68786621,,,,,,,,,,,,,,,,,,,,,94.53943634,94.66227722
Burundi,BDI,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,0.706749976,0.774779975,0.70273,0.980440021,1.255429983,1.38135004,1.465620041,1.522289991,1.608100057,1.652199984,1.859150052,2.258769989,1.949990034,2.093699932,2.415580034,2.54418993,2.973150015,3.189519882,3.609790087,3.95423007,4.275499821,4.679950237,5.321100235,,,,,,,,,,9.176250458,10.27937984,11.02346039,12.00699997,12.61281013,,16.86161995,19.45406914,22.14746094,24.85687065,29.9406395,36.77585983,42.89833832,47.35601044,50.43093109,51.08967972,48.28493118
Belgium,BEL,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,81.00772858,82.53118896,83.34033966,83.78440857,83.67285156,83.47496796,85.44152069,87.81907654,89.02944183,90.25830841,91.70475769,93.45475769,94.24369812,96.48770142,99.04016113,100.1755829,100.4008484,101.2036819,101.6762009,102.1977234,102.4652405,103.4892273,146.0895386,149.4573059,152.4781342,152.0984039,,,147.477066,152.375061,162.368515,165.1302643,166.6178436,160.7687378,169.0975952,170.8795471,169.7241211,169.8158875,167.8513794,167.304657,166.904953,168.3282166,171.3905334,172.7119751,174.6784363,170.3596344,167.7857666,165.2812653,
Benin,BEN,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,2.57604003,,3.878420115,4.394639969,5.430119991,,5.090630054,,,,,,,,11.07610989,9.301520348,8.701080322,,,,,,,,,,,,13.23305988,13.68515968,15.15250015,16.43560982,17.16555977,18.44807053,,,,,,,37.63613129,,44.80511856,45.80659103,48.92763138,50.7318306,,,
Burkina Faso,BFA,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,0.727779984,0.737020016,0.83288002,0.988170028,1.060220003,1.113790035,1.129240036,,1.411460042,1.816190004,1.79132998,2.097990036,2.033159971,2.226560116,2.692939997,3.067430019,,,,,,,,5.905990124,,,,,7.454899788,8.235150337,8.45386982,,9.780240059,10.84070015,11.82040024,12.60505962,13.64186954,16.07449913,17.28488922,18.92519951,20.8483696,23.19091034,25.96982002,28.2670002,32.32059097,34.8719101,37.58081055,40.72999954,41.99523163
Bangladesh,BGD,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,10.62872028,,,8.908639908,7.574029922,,7.089419842,9.311980247,6.425499916,,,12.21127987,11.74779034,12.82631016,12.89846992,13.16829014,13.38889027,14.00374031,,,,,,,,43.77843094,48.13056946,50.51115036,53.09230042,54.74578094,54.45301056,48.97721863,48.4769516,48.85300827,49.56628036,49.01089096,51.91283035,54.67509079,56.19821167,58.82461166,62.58472824,,69.65406036,75.01081085,75.21749115,78.27072906,78.27726746
Bulgaria,BGR,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,89.20427704,90.4987793,91.81916046,93.56211853,95.2649765,89.67485046,93.33383179,91.07151794,88.35089111,88.7157135,89.75874329,90.65113831,91.46439362,91.76777649,93.00079346,98.64099884,99.69950104,101.4259186,101.8578186,98.64494324,97.80718231,96.00858307,92.84290314,89.92897797,91.69477081,92.31403351,92.17021179,91.04741669,91.16046906,91.78983307,92.81622314,94.13820648,85.66481781,86.93834686,87.31674194,87.95845795,88.40634155,87.99871063,87.18241119,88.21617889,91.41719818,92.64404297,99.0633316,102.2827072,100.5634995,98.07808685,96.82398987,95.18641663,
Bahrain,BHR,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,42.34658813,46.22533035,48.51327133,53.34690857,56.9701004,59.14561081,59.84069824,63.24343872,63.31293869,54.20127106,57.60015106,64.53827667,77.78282928,81.44895172,88.61154175,95.11296082,92.19101715,90.3972702,90.7675705,87.95175171,101.5655289,101.95858,105.2279587,108.2140884,108.2371674,106.8070984,101.2492981,99.43092346,97.83731842,99.95474243,101.4917297,99.88993073,99.91108704,100.6110306,101.4538269,101.1398392,,95.53338623,94.24743652,93.5098877,94.19786072,92.53338623,97.26215363,99.22583771,101.8001175,104.2858734,104.0737762,101.6959915,101.5219879
"Bahamas, The",BHS,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,95.05757904,95.36231995,,92.71325684,92.26643372,97.16596985,,,,,97.03179932,96.667099,,86.80426025,,91.21257019,,77.00502777,,,93.71090698,,85.64716339,88.09721375,89.41648102,93.98267365,92.48079681,90.71746063,91.15975952,85.91963959,87.98928833,78.86601257,82.34358215,66.72322083,73.96617889,80.2469101,71.6102066,
Bosnia and Herzegovina,BIH,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,92.18035889,91.45043945,92.1451416,93.92402649,96.48632813,101.362587,100.8777313,100.658638,100.815361,101.117012,,,,,,,102.6436768,101.8739319,100.9805984,99.41345215,,,,,,,,88.56591797,,,,,,,,,,110.1774902,108.9661026,106.412262,105.5534515,105.2303314,104.0597992,104.4716187,104.6375809,103.9009781,102.694519,101.6907425,
Belize,BLZ,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,59.46609879,61.44739151,,,,62.28258133,,,68.7700882,68.11322021,,,,66.32598114,69.78804016,72.3638916,,78.56227875,80.72119141,77.70024109,78.4047699,77.40779114,77.28723145,76.87158203,78.21234131,78.38278961,79.4963913,81.77178955,81.66027069,81.74861145,87.70973969,86.19940948,87.11591339,87.18950653
Bermuda,BMU,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,86.05877686,78.55843353,89.28318024,84.04737091,85.8221817,85.52497101,95.66996002,94.33113861,93.02407837,97.78842926,,,,,,,,,,,,,,,,,,,,,79.76760101,79.55314636,82.20652771,85.45088959,83.60710907,78.36197662,,,,83.71762848,82.89521027,82.35294342,83.12078094,82.01603699,81.45130157,,,,
Bolivia,BOL,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,24.14422989,,,,,,,,,,,,,,,,,,,,,,,,,,,69.49698639,74.73953247,70.22505188,73.24176025,78.00395966,80.66181946,83.57303619,84.94075775,84.59641266,84.54309845,84.33059692,83.2924118,88.52033997,86.22297668,87.99286652,89.65641022,89.99389648,90.67494202,90.51051331,89.31302643,88.75827026,
Brazil,BRA,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1203995,107.3284378,107.3514404,106.2145386,,100.83815,102.6016083,102.1236267,,99.85424042,,,,,,,,
Barbados,BRB,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,78.83043671,80.21195984,80.4118576,76.29846954,82.41529846,83.09545898,83.64163971,88.61972809,89.60777283,95.86862183,88.41490173,89.50821686,88.58120728,89.9276886,92.73287964,,,,89.82254791,81.1054306,,,,,,,,,109.8192978,105.5777664,103.7011032,104.370697,106.0140381,107.9514084,107.9562912,107.0107269,106.0086288,105.6986237,104.0108566,102.1350784,105.5626678,,,109.6701431,109.4629364,109.1104736,108.5692673,105.7528915,104.9261627
Brunei Darussalam,BRN,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,49.59103012,51.66139984,54.32326126,54.94984055,55.6960907,58.12065887,61.10142899,59.70502853,60.35821152,61.58470154,62.73210907,63.75901031,65.24582672,68.23506165,66.26804352,,,,,,,76.2300415,77.8137207,79.33907318,79.04421997,,,,83.45706177,86.61081696,85.94766235,85.43286896,85.95469666,87.80378723,91.97100067,95.84581757,97.61924744,96.22673798,96.15708923,98.19986725,99.48724365,101.5033112,107.6274414,106.9361191,100.4770813,97.45722961,95.34734344,94.26651764,94.59944916,93.67414856
Bhutan,BTN,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,0.158950001,0.400920004,0.490830004,,0.990159988,,,1.236789942,,,,,,3.720799923,4.079850197,,,,,,,,,,,,,,20.21977043,23.12809944,26.58592987,30.2199707,,,,42.71648026,46.10554886,50.37385941,53.86019135,60.21134949,64.70474243,69.24255371,74.24221802,78.60505676,85.85752869,86.8408432,89.73416901,92.75176239,95.71011353,
Botswana,BWA,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,6.813270092,8.079360008,8.887829781,12.75177956,14.81219006,16.78583908,18.84161949,20.29471016,20.14679909,20.26099014,21.01412964,23.37838936,,23.23020935,27.29707909,30.57324028,31.79755974,32.082901,31.28326988,37.07873154,41.3684082,51.94157028,51.68495178,56.36003876,54.76337051,63.05199814,,,80.23178101,80.67417145,82.57817078,81.90338898,83.49249268,84.1342926,85.20588684,84.80158234,87.20330048,87.44624329,83.51811218,,,,,,,,,,,
Central African Republic,CAF,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,1.66652,1.86548996,2.016849995,,,2.853209972,2.986670017,4.217589855,4.394959927,6.105750084,7.100699902,8.260890007,,,,8.283029556,7.444109917,6.437379837,6.48251009,6.76760006,6.973619938,5.82502985,,,,,,,,,8.331020355,,,,,,,,9.835379601,,12.63395977,11.92323971,,,,11.8409996,13.77754974,,
Canada,CAN,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,95.79219818,95.26526642,94.07718658,92.61440277,92.26033783,91.45606995,91.19275665,90.29393768,89.19422913,88.5734787,89.23336792,92.95210266,95.03043365,98.13796997,99.16944885,99.22438812,99.11618805,99.53088379,100.5270462,100.2446518,101.6618881,102.6924591,104.2717896,105.4960098,105.2012177,105.5632935,,105.2835922,103.2772293,102.9327774,,,,,100.2343826,100.6695023,100.7483673,101.104248,101.5036087,101.1566925,102.2668762,109.8560715,109.6153183,109.6512222,110.8576202,113.3864594,114.5206375,114.7476807,
Central Europe and the Baltics,CEB,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,77.64399,77.66753,78.1087,79.12534,79.70186,81.02115,81.77245,83.41142,84.50595,85.46181,86.29337,87.69308,88.62453,88.56172,88.76462,89.66215,90.64833,92.00874,92.52383,91.90386,91.88669,89.09474,87.18906,88.084,88.38798,88.4184,89.29613,89.89734,89.25902,90.60776,91.76449,93.45946,94.958,95.28908,92.92051,93.8773,93.98109,94.58464,95.4542,95.58637,96.21201,96.48387,96.68726,101.9323,101.4275,101.262,100.948,101.4253,101.3119,101.2212
Switzerland,CHE,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,85.89344025,87.90550232,89.22960663,89.76538849,89.81854248,89.87567139,90.2858963,90.4127121,90.24150848,90.24149323,90.75092316,91.58242798,92.64109039,94.04872894,95.43071747,95.57308197,98.04666901,98.16432953,98.06065369,,91.73931122,92.22162628,92.45896149,92.79279327,90.92095947,90.83628845,91.19075775,92.46307373,93.13680267,93.30357361,93.55612183,93.55343628,94.63526917,95.15923309,95.06948853,97.63217163,,99.63999176,100.5540924,100.1749496,99.94206238,
Channel Islands,CHI,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,45.62963867,51.95391083,56.70927811,60.47618103,62.12754822,60.96881866,61.76399994,63.30833054,64.69821167,67.03002167,66.79972076,67.87278748,66.86305237,71.6125412,74.12214661,77.49266815,78.77506256,,,79.2661438,75.95973969,92.13881683,92.54824829,74.57637024,,,,,80.51499176,83.06829071,86.49053192,,89.72921753,91.87158966,93.04032898,94.1103363,94.20918274,93.27168274,92.58759308,90.28343201,91.39967346,91.85565948,91.0845871,100.0797195,101.1184769,102.1184616,102.0936813,102.0284195,102.3893814,
China,CHN,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,45.52109146,47.53810883,46.18072891,42.38727951,36.03203964,31.41473007,26.36507034,24.23450089,23.96143913,25.36374092,26.63916969,29.11325073,30.53877068,30.9659996,31.01692009,33.29716873,36.58657074,39.49781036,42.16801834,46.24686813,51.07297897,53.68384933,,,,57.99494171,,60.2562294,,,70.96914673,76.76522064,82.26368713,86.60894012,88.01268005,,,,,,,,,
Cote d'Ivoire,CIV,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,4.277629852,4.95306015,5.352499962,5.384449959,,,,,,,11.95734024,,11.54485989,11.67652988,,,,,,,,,,,,,,,16.8407402,,,,,,,,,,,,,,,31.84248924,35.06679153,37.67156982,41.33050156,44.34893036,48.31087112
Cameroon,CMR,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,4.689020157,5.43132019,6.237609863,6.99406004,7.69216013,8.689780235,9.91975975,10.91759968,11.62450027,12.16471958,12.90081024,13.50002956,14.43397045,15.46105003,16.9086895,17.31155014,19.16007042,20.1602993,20.79204941,21.04462051,22.74480057,23.54021072,,,21.09487915,,21.38419914,20.8512001,23.88607025,,28.99037933,21.47621918,27.1223793,23.38941002,23.84634972,20.80397034,28.23361015,32.54713821,36.78649902,,44.22703171,47.53411102,49.20771027,52.8348999,54.39524078,55.4430809,,,
"Congo, Dem. Rep.",COD,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,4.104060173,4.987140179,5.954529762,6.395530224,8.126810074,8.968930244,10.19524956,11.63761997,13.33950996,13.36198044,13.41094971,13.54776955,13.70888042,13.88288021,14.06118011,14.24553013,14.48375034,16.27412987,,,,14.83386993,15.59249973,15.91549969,21.18561935,,,,,,,,,,,,25.4548893,28.16463089,29.83422089,30.13083076,32.03720093,32.1181488,32.82384109,34.85866928,35.98096085,,,,
"Congo, Rep.",COG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,10.36058044,12.93124962,17.76066017,23.19598007,27.5032196,31.30888939,37.26869965,41.42964935,44.25244141,45.92617035,55.06575012,58.76176834,,53.30572891,53.4896698,57.91984177,60.158741,56.62271881,48.10139084,40.87887955,,40.45352936,,,,40.6491394,,,,,,32.5082283,32.06715012,40.75954056,,,,,,,,48.81208038,,,,,,,
Colombia,COL,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,23.35596085,25.27494049,26.81217003,32.8850708,35.2867012,36.38489151,37.68978119,40.32386017,40.50204086,41.75170898,42.78298187,43.79735184,44.9748497,47.37245941,46.38568115,47.50350189,52.3250885,53.0075798,53.43840027,53.63566971,,57.90262985,64.57939148,66.21939087,,69.04110718,70.40016937,,77.80242157,77.97006989,76.69193268,,78.49900055,,83.38509369,87.22846222,91.13822937,94.11921692,95.3237915,100.0971603,102.2693787,103.552948,99.60598755,100.0441666,98.73783112,98.12564087,98.10569763,98.45749664,100.0914536,
