"open","high","low","close","adjusted close","volume","dividend amount","split coefficient","dates"
350.49,353.02,341.92,346.34,346.34,6564377,0,1,"2021-03-04"
354.7,355.64,350.56,350.66,350.66,6317636,0,1,"2021-03-03"
358.38,358.63,355.16,355.35,355.35,5462610,0,1,"2021-03-02"
354.55,359.39,354.5,358.12,358.12,3725252,0,1,"2021-03-01"
353.47,354.4678,347.71,349.59,349.59,7450604,0,1,"2021-02-26"
359.03,360.27,350.08,351.52,351.52,6981285,0,1,"2021-02-25"
355.15,360.58,354.2,360.16,360.16,3301220,0,1,"2021-02-24"
353.69,357.56,349.53,356.22,356.22,5251055,0,1,"2021-02-23"
355.84,358.19,355.56,355.77,355.77,3231900,0,1,"2021-02-22"
360.47,360.71,358.14,358.59,358.59,2487098,0,1,"2021-02-19"
358.24,359.93,356.49,359.25,359.25,3017068,0,1,"2021-02-18"
359.03,360.97,357.9222,360.79,360.79,3208028,0,1,"2021-02-17"
362.15,362.37,359.98,360.71,360.71,4408452,0,1,"2021-02-16"
358.45,361.19,358.36,361.05,361.05,2144471,0,1,"2021-02-12"
359.71,360.1,356.8376,359.22,359.22,2237200,0,1,"2021-02-11"
360.53,360.61,356.3,358.64,358.64,2388804,0,1,"2021-02-10"
358.22,359.33,357.77,358.78,358.78,1882162,0,1,"2021-02-09"
357.92,359.07,357.06,359.07,359.07,3371070,0,1,"2021-02-08"
356.9,357.1312,355.316,356.44,356.44,2091756,0,1,"2021-02-05"
352.12,355.04,351.92,355.02,355.02,1988342,0,1,"2021-02-04"
351.7,352.8,349.88,351.09,351.09,3392809,0,1,"2021-02-03"
349.05,352.34,349,350.74,350.74,2909313,0,1,"2021-02-02"
343.63,346.85,341.4,345.77,345.77,3334009,0,1,"2021-02-01"
345.31,346.22,338.57,340.18,340.18,5803647,0,1,"2021-01-29"
345.97,351.0707,345.58,347.13,347.13,3432188,0,1,"2021-01-28"
349.54,349.56,341.99,344.24,344.24,5010372,0,1,"2021-01-27"
354.23,354.645,352.6,352.8,352.8,2430244,0,1,"2021-01-26"
352.71,353.6814,347.97,353.33,353.33,3548997,0,1,"2021-01-25"
351.38,353.04,350.99,351.9,351.9,1812174,0,1,"2021-01-22"
353.46,353.835,352.302,353.16,353.16,2582562,0,1,"2021-01-21"
350.32,353.71,349.97,352.83,352.83,2920573,0,1,"2021-01-20"
347.8,348.587,346.36,348.1,348.1,3433790,0,1,"2021-01-19"
346.27,347.06,343.53,345.37,345.37,3622148,0,1,"2021-01-15"
